Storyteller,Transcript
Cassandra Willyard,Cassandra Willyard_transcript.docx (https://dl.airtable.com/.attachments/fa1e36004dc65c331ab848e4b1e37b6a/aaddf6b6/CassandraWillyard_transcript.docx)
Anonymous,Anonymous_transcript.docx (https://dl.airtable.com/.attachments/23e27d0220b904ff889f94ed3df1387b/eef26eae/Anonymous_transcript.docx)
Tracy Chong,Tracy Chong_transcript.docx (https://dl.airtable.com/.attachments/f81c670f6a1bbb605e783e9bdc2d20a5/93af4639/TracyChong_transcript.docx)
Simon Donner,SimonDonner_transcript.docx (https://dl.airtable.com/.attachments/5984d1f0877e70b167c5ce46a094c1b9/0ded9eb7/SimonDonner_transcript.docx)
Heather Berlin and Baba Brinkman,BrinkmanBerlin_transcript-hb.docx (https://dl.airtable.com/.attachments/e08f9817be45cfd0659092324d3a20bc/b9dcc99a/BrinkmanBerlin_transcript-hb.docx)
Shayle Matsuda,Shayle Matsuda_transcript.docx (https://dl.airtable.com/.attachments/5a68e8ad8ad43b9ed91f6a251aff77bc/6b257e67/ShayleMatsuda_transcript.docx)
Marco Quesada,MarcoQuesada_transcript.docx (https://dl.airtable.com/.attachments/3f33db8af0ff475a66ab7d6ba130b878/206e8134/MarcoQuesada_transcript.docx)
Alison Smith,Alison Smith_transcript.docx (https://dl.airtable.com/.attachments/cd685c932335f2bc1e1ebadc0b2f8767/ff3e9e74/AlisonSmith_transcript.docx)
Morgan Givens,Morgan Givens_transcript.docx (https://dl.airtable.com/.attachments/d871a4a396a6581a19e2cc1880d019f6/cf9b13b2/MorganGivens_transcript.docx)
Elisa Schaum 1,Elisa Schaum_transcript.docx (https://dl.airtable.com/.attachments/dd353416fd50b87d78629f2212170e8b/e9c321d9/ElisaSchaum_transcript.docx)
Jamie Brickhouse,Jamie Brickhouse_transcript.docx (https://dl.airtable.com/.attachments/2809825f6212e7beed4548c7a51393c9/d4ccc88c/JamieBrickhouse_transcript.docx)
Jessica Hoey,JessicaHoey_transcript.docx (https://dl.airtable.com/.attachments/1b811d77a7de9469381bd3d653f38f56/2baa272e/JessicaHoey_transcript.docx)
Josh Silberg,Josh Silberg_transcript.docx (https://dl.airtable.com/.attachments/bf9b1254c942cebefc36e03067621abc/27b29996/JoshSilberg_transcript.docx)
Jason Rodriguez,Jason Rodriguez_transcript.docx (https://dl.airtable.com/.attachments/eb5b26433d22f4756a4d637a42a0f09f/529657c1/JasonRodriguez_transcript.docx)
Joselin Linder,Joselin Linder_transcript.docx (https://dl.airtable.com/.attachments/9e1eccba5cd3ecb3bf93913b32b02dd6/7faeaa64/JoselinLinder_transcript.docx)
Madhavi Colton,Madhavi Colton 3rd_transcript.docx (https://dl.airtable.com/.attachments/c247d94a148c2b0e45ac720da8654563/8d6d0f1e/MadhaviColton3rd_transcript.docx)
Lyl Tomlinson,Lyl Tomlinson_transcript.docx (https://dl.airtable.com/.attachments/608e930d0f3d99b8d72a519730dfac56/3df697b3/LylTomlinson_transcript.docx)
Kim Cobb,Kim Cobb_transcript.docx (https://dl.airtable.com/.attachments/5c431ddc9b36351233bb8d07ff15b964/36eafd42/KimCobb_transcript.docx)
Amber Hewitt,Amber Hewitt_transcript.docx (https://dl.airtable.com/.attachments/f5ee378a68cb81eb6d587bcbe27569b2/6a032f08/AmberHewitt_transcript.docx)
Sarah Myhre,Sarah Mhyre_transcript.docx (https://dl.airtable.com/.attachments/a8169f0b61cdc5768f8aae822492960a/ecf8b2be/SarahMhyre_transcript.docx)
Kayla Glynn,Kayla Glynn_transcript.docx (https://dl.airtable.com/.attachments/c633343a22e411ec0eb59b1c85ed2bfa/514337e5/KaylaGlynn_transcript.docx)
Leah Shaffer,Leah Shaffer_transcript.docx (https://dl.airtable.com/.attachments/112828f2b9b6e02b940e94cdc8ebe2fe/40f66e28/LeahShaffer_transcript.docx)
Adam Ruben,Adam Ruben_transcript.docx (https://dl.airtable.com/.attachments/f3b4533a13950d321887ec8c0f87323a/02ed9149/AdamRuben_transcript.docx)
Saad Sarwana,Saad Sarwana_transcript.docx (https://dl.airtable.com/.attachments/8b81b64e8b2b170d9114830fc692a660/6133264b/SaadSarwana_transcript.docx)
Sarah Pearl,Sarah Pearl_transcript.docx (https://dl.airtable.com/.attachments/f7b4b3e0500f56d44a836cfd0ecca8e9/a63d7220/SarahPearl_transcript.docx)
Jesse Shanahan,Jesse Shanahan_transcript.docx (https://dl.airtable.com/.attachments/0b109937f4b0fa2b35d99d0caa8549d6/eb5042ab/JesseShanahan_transcript.docx)
Kirsten Grorud-Colvert,Kirsten Grorud-Colvert_transcript.docx (https://dl.airtable.com/.attachments/ce549a4bfe4c664e21bef983e2e0947f/c13aa67f/KirstenGrorud-Colvert_transcript.docx)
Prabarna Ganguly,Prabarna Ganguly_transcript.docx (https://dl.airtable.com/.attachments/66c72bb3c6a667d1961d7bddaabc704b/efb7d6ef/PrabarnaGanguly_transcript.docx)
Mo Culberson,Mo Culberson_transcript.docx (https://dl.airtable.com/.attachments/cc01d574c6d9cbc9e243493e44763696/27e16044/MoCulberson_transcript.docx)
Melanie McConnell,Melanie McConnell_transcript.docx (https://dl.airtable.com/.attachments/2149b151ba4a42df5bfc1a8c958c50ca/4f8bed28/MelanieMcConnell_transcript.docx)
Cather Simpson,CatherSimpson_transcript.docx (https://dl.airtable.com/.attachments/94878adcad6f6d7e0e68e7be4163c737/ab315d45/CatherSimpson_transcript.docx)
Ethan Hollander,Ethan Hollander_transcript.docx (https://dl.airtable.com/.attachments/d5ef5159c407f7fd388a50716f45c7dc/3bbaebc1/EthanHollander_transcript.docx)
Gabriela Marks Serrato,Gabriela Serrato Marks_transcript.docx (https://dl.airtable.com/.attachments/2ec7e5976560bffe2f4ed54411903113/22a097a8/GabrielaSerratoMarks_transcript.docx)
David Evans,David Evans_transcript.docx (https://dl.airtable.com/.attachments/3e0ac72d402cb9fbc2ff7369495bd5b3/1d8f3f76/DavidEvans_transcript.docx)
Joe Normandin,Joe Normandin_transcript.docx (https://dl.airtable.com/.attachments/fcf801fad1fab884377dd777428517c4/d554ef1d/JoeNormandin_transcript.docx)
Kate Marvel,Kate Marvel_transcript.docx (https://dl.airtable.com/.attachments/815511518cf5ef8e415113a3eaa862fd/ce4d74cd/KateMarvel_transcript.docx)
Vanessa Vakharia,Vanessa Vakharia_transcript.docx (https://dl.airtable.com/.attachments/0bcd85235d391b90aadab46effaa37d8/43e41b06/VanessaVakharia_transcript.docx)
Lew Lefton,Lew Lefton_transcript.docx (https://dl.airtable.com/.attachments/aef0241d57f7da7d308c0b22464f8cff/a2e7d3ee/LewLefton_transcript.docx)
Susana Martinez-Conde and Stephen Macknik,Macknik.Martinez-Conde_transcript.docx (https://dl.airtable.com/.attachments/bbd1b5423ba1f04dda15c18228b2e524/c510db13/Macknik.Martinez-Conde_transcript.docx)
Ted Olds,Ted Olds_transcript.docx (https://dl.airtable.com/.attachments/018f92ca0cbe5e1055cef208561f420e/8b1008c8/TedOlds_transcript.docx)
Judith Stone,Judith Stone_transcript.docx (https://dl.airtable.com/MMotm9LiQWSW8TNQHSZv_Judith%20Stone_transcript.docx)
Anna Freeman,Anna Freeman_transcript.docx (https://dl.airtable.com/.attachments/060d92012e4bac69f9069a44974b2247/960c65bc/AnnaFreeman_transcript.docx)
Piper Harron,Piper Harron 2_transcript.docx (https://dl.airtable.com/.attachments/e356000c33b858e1a80cf7aefe94e69c/b160b074/PiperHarron2_transcript.docx)
Ken Ono,Ken Ono_transcript.docx (https://dl.airtable.com/.attachments/1827d0ac20e83563a5c79f44dc4c4d02/58572682/KenOno_transcript.docx)
Sara Mazrouei Seidani,Sara Mazrouei_transcript.docx (https://dl.airtable.com/.attachments/c844f79c9e71174e6555d0c51601a5dc/30e1b362/SaraMazrouei_transcript.docx)
Mari Provencher,Mari Provencher_transcript.docx (https://dl.airtable.com/.attachments/e536e2632469dd092c49a63a4022bde7/5c39ca19/MariProvencher_transcript.docx)
Chase Masterson,Chase Masterson_transcript.docx (https://dl.airtable.com/dwT8sZvnSeCoCluMy880_Chase%20Masterson_transcript.docx)
Joseph Scrimshaw,Joseph Scrimshaw_transcript.docx (https://dl.airtable.com/.attachments/67685c6b1b849d660d009738ee753083/2121ecd6/JosephScrimshaw_transcript.docx)
Nick Andersen,Nick Andersen_transcript.docx (https://dl.airtable.com/w9kS7OHbRICpYNAbzo16_Nick%20Andersen_transcript.docx)
Bethany Van Delft,Bethany VanDelft_transcript.docx (https://dl.airtable.com/ToygWyhFQAywaEh1vP0s_Bethany%20VanDelft_transcript.docx)
Amanda Gorman,Amanda Gorman_transcript.docx (https://dl.airtable.com/.attachments/b74ea8a3c8d2e9bad7267f9bcec6847d/d6418e9e/AmandaGorman_transcript.docx)
Moni Avello,Moni Avello_transcript.docx (https://dl.airtable.com/8PpUvCvCQG2OlAOfKshR_Moni%20Avello_transcript.docx)
Peter Brannen,Peter Brannen_transcript.docx (https://dl.airtable.com/xut08UVOQnezdB04mWTw_Peter%20Brannen_transcript.docx)
Aletha Maybank,Aletha Maybank_transcript.docx (https://dl.airtable.com/.attachments/4eb81df5cac3877794c1d4c66f763965/388b26bf/AlethaMaybank_transcript.docx)
Shane M Hanlon,Shane Hanlon_transcript.docx (https://dl.airtable.com/IgOzPKApTZ2gdDkRnlKN_Shane%20Hanlon_transcript.docx)
Sushma Subramanian,Sushma Subramanian_transcript.docx (https://dl.airtable.com/9nxc0qpwTe6ueB7I1FJu_Sushma%20Subramanian_transcript.docx)
Erik Klemetti,Erik Klemetti_transcript.docx (https://dl.airtable.com/FJKEDISfT6GwckTpQgRm_Erik%20Klemetti_transcript.docx)
Alison Williams,Alison Williams_transcript.docx (https://dl.airtable.com/.attachments/aa0ac52ae13d246271d1b32c01cb7eb9/3420f6e6/AlisonWilliams_transcript.docx)
Kelley Remole,Kelley Remole_transcript.docx (https://dl.airtable.com/VAhrRhsISTCpkS6Fg9iO_Kelley%20Remole_transcript.docx)
Nisse Greenberg,Nisse Greenberg_transcript.docx (https://dl.airtable.com/g35WfBREyBBzfCvOCLag_Nisse%20Greenberg_transcript.docx)
Matthew Dicks,Matt Dicks_transcript.docx (https://dl.airtable.com/KZpTnSA0S1SpsG9tEUCx_Matt%20Dicks_transcript.docx)
Sandi Marx,Sandi Marx_transcript.docx (https://dl.airtable.com/KzRnmpHSYe3HBKu3ArDw_Sandi%20Marx_transcript.docx)
Michaella A. Thornton,Michaella Thornton_transcript.docx (https://dl.airtable.com/rK6e9QqdS0C746iEHjzl_Michaella%20Thornton_transcript.docx)
